Publication Type,Authors,Book Authors,Group Authors,Book Group Authors,Researcher Ids,ORCIDs,Book Editors,Author - Arabic,Grant Principal Investigator,Grant Co Principal Investigator,Article Title,Article Title - SciELO,Article Title - SciELO,Article Title - Chinese,Article Title - Russian,Patent Number,Patent Assignee,Source Title - Arabic,Source Title,Source Title - Korean,Book Series Title,Book Series Subtitle,Volume,Issue,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,Version,Version History,DOI,Book DOI,License Name,License URI,License Description,Early Access Date,Supplement,Document Type,Publication Date,Publication Year,Abstract,Abstract - Foreign,Abstract - English Transliteration,Abstract - Foreign,Abstract - Korean,Conference Title,Conference Date,Conference Sponsor,Conference Location,"Times Cited, WoS Core","Times Cited, CSCD","Times Cited, RSCI","Times Cited, ARCI","Times Cited, BCI","Times Cited, SCIELO","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,ISSN,eISSN,ISBN,Grant Number,No of References,Cited References,Language,Advisor,Committee Member,Copyright,Degree Name,Institution Address,Institution,Dissertation and Thesis Subjects,Author Keywords,Indexed Date,UT (Unique ID),Pubmed Id,
J,"Porter, K E",,,,,,,,,,Seabed Scour Around Marine Structures in Mixed and Layered Sediments,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dissertation/Thesis,Jan 01 2016,2016,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,"University of London, University College London (United Kingdom), England","University of London, University College London (United Kingdom)",,,,PQDT:50015736,,
B,"Wang, Meina",,,,,,,,,,Projecting Climate Change Impact on the Regional Scale: Future Changes of Wind and Wind Energy in California,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dissertation/Thesis,Jan 01 2019,2019,,,,,,,,,,0,0,0,0,0,0,0,,,,,9.78109E+12,,,,,,,,,"University of California, Davis, Atmospheric Science, California, United States","University of California, Davis",,,,PQDT:68457888,,
J,"Lima, Sergio Q.; Costa, Carinne M.; Amemiya, Chris T.; Schneider, Igor",,,,"Schneider, Igor/K-6164-2012","Schneider, Igor/0000-0002-9046-7338; Lima, Sergio/0009-0002-6709-7380",,,,,Morphological And Molecular Analyses of an Anatomical Novelty: The Pelvic Fin Filaments of the South American Lungfish,,,,,,,,JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION,,,,328,1-2,,,97,105,,,,10.1002/jez.b.22711,,,,,,,Article,JAN-FEB 2017,2017,"The pelvic fins of male South American lungfish, Lepidosiren paradoxa, are adorned with a distinctive array of filaments, which grow and become highly vascularized during the breeding season. The resemblance between these pelvic fin filaments (PFFs) and external gills of other vertebrates suggested that this gill-like structure was used for physiological gas exchange. It has been proposed that the unique pelvic fin of male L. paradoxa is used for release of oxygen from its blood into the environment in order to aerate its nesting brood, or, conversely, as an auxiliary respiratory organ by absorbing oxygen from the environment into its bloodstream. Here, we employed histology, scanning electron microscopy (SEM) and quantitative PCR (qPCR) to assess whether the morphology and molecular profile of PFFs are compatible with a role in gas exchange. First, we closely examined its external morphology and showed that PFFs develop from short papillae during the rainy season, but remain covered by a thick nonvascularized epithelium. Histological examination confirmed that capillaries within the filaments are separated from the exterior by a basement membrane and a stratified epithelium composed of four to five cell layers. In addition, SEM analysis revealed significant differences between the fin filament epithelium and typical gill epithelium. Finally, our qPCR results showed that five genes commonly expressed in gills were downregulated in PFFs relative to their expression in regular pectoral fin epidermis. Collectively, our results do not directly support a role for PFFs, commonly referred to as limb gills, in oxygen release or uptake.",,,,,,,,,4,0,0,0,4,0,4,,,1552-5007,1552-5015,,,,,,,,,,"Fed Univ Para, Inst Ciencias Biol, BR-66075 Belem, Para, BrazilBenaroya Res Inst Virginia Mason, Seattle, WA USAUniv Washington, Dept Biol, Seattle, WA 98195 USA",,,,2017-03-29,WOS:000395175300006,27862964,
J,"Bacosa, Hernando P.; Suto, Koichi; Inoue, Chihiro",,,,"Inoue, Chihiro/B-7469-2014; Inoue, Chihiro/N-2974-2019; Bacosa, Hernando/AAE-4321-2019","Inoue, Chihiro/0000-0002-2270-8988; Bacosa, Hernando/0000-0002-4100-8274",,,,,"Degradation potential and microbial community structure of heavy oil-enriched microbial consortia from mangrove sediments in Okinawa, Japan",,,,,,,,JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING,,,,48,8,,,835,846,,,,10.1080/10934529.2013.761476,,,,,,,Article,2013,2013,"Mangroves constitute valuable coastal resources that are vulnerable to oil pollution. One of the major processes to remove oil from contaminated mangrove sediment is microbial degradation. A study on heavy oil-and hydrocarbon-degrading bacterial consortia from mangrove sediments in Okinawa, Japan was performed to evaluate their capacity to biodegrade and their microbial community composition. Surface sediment samples were obtained from mangrove sites in Okinawa (Teima, Oura, and Okukubi) and enriched with heavy oil as the sole carbon and energy source. The results revealed that all enriched microbial consortia degraded more than 20% of heavy oil in 21 days. The K1 consortium from Okukubi site showed the most extensive degradative capacity after 7 and 21 days. All consortia degraded more than 50% of hexadecane but had little ability to degrade polycyclic aromatic hydrocarbons (PAHs). The consortia were dominated by Pseudomonas or Burkholderia. When incubated in the presence of hydrocarbon compounds, the active bacterial community shifted to favor the dominance of Pseudomonas. The K1 consortium was a superior degrader, demonstrating the highest ability to degrade aliphatic and aromatic hydrocarbon compounds; it was even able to degrade heavy oil at a concentration of 15%(w/v). The dominance and turn-over of Pseudomonas and Burkholderia in the consortia suggest an important ecological role for and relationship between these two genera in the mangrove sediments of Okinawa.",,,,,,,,,47,0,0,0,35,0,47,,,1093-4529,1532-4117,,,,,,,,,,"Tohoku Univ, Grad Sch Environm Studies, Sendai, Miyagi 9808579, Japan",,,,2013-01-01,WOS:000328535200001,23485232,
C,"Chandak, N. R.; Chandrasekaran, S.",,,,"Chandrasekaran, Srinivasan/ABC-9313-2020; Chandak, Narayan/AAF-1663-2020","Chandrasekaran, Srinivasan/0000-0001-8346-5724; Chandak, Narayan/0000-0002-4211-0828","Lu, JWZ; Leung, AYT; Iu, VP; Mok, KM",,,,Structural Response of Triangular Tension Leg Platform Using Dynamic Morison Equation,,,,,,,,"ISCM II AND EPMESC XII, PTS 1 AND 2",,AIP Conference Proceedings,,1233,,,,1483,+,,,,10.1063/1.3452127,,,,,,,Proceedings Paper,2010,2010,"Structural response behavior of Tension Leg Platforms (TLPs) used in deep sea oil exploration is nonlinear due to large displacements and fluid-structure interaction. Their relative insensitivity in deep sea and excellent station keeping characteristics make them suitable for deep waters, apart from being cost-effective. This study investigates response behavior of TLP with triangular geometry using Dynamic Morison equation; nonlinearities associated with vortex shedding effects are considered in contrast to the standard Morison equation that has undesirable features in this respect. Numerical studies conducted on TLPs under regular waves with varying hydrodynamic coefficients show that the coupled responses in active degrees-of-freedom namely surge, heave and pitch response obtained using Dynamic Morison equation are lesser in comparison to those obtained using standard Morison equation.",,,,,2nd International Symposium on Computational Mechanics12th International Conference on the Enhancement and Promotion of Computational Methods in Engineering and Science2nd International Symposium on Computational Mechanics12th International Conference on the Enhancement and Promotion of Computational Methods in Engineering and Science,"NOV 30-DEC 03, 2009DEC 02-03, 2009NOV 30-DEC 03, 2009DEC 02-03, 2009",K C Wong Educ Fdn; Macao Fdn; Macau Govt Tourist Off; Sci & Technol Dev Fund Macao SARK C Wong Educ Fdn; Macao Fdn; Macau Govt Tourist Off; Sci & Technol Dev Fund Macao SARK C Wong Educ Fdn; Macao Fdn; Macau Govt Tourist Off; Sci & Technol Dev Fund Macao SARK C Wong Educ Fdn; Macao Fdn; Macau Govt Tourist Off; Sci & Technol Dev Fund Macao SAR,"Hong Kong, PEOPLES R CHINAMacau, PEOPLES R CHINAHong Kong, PEOPLES R CHINAMacau, PEOPLES R CHINA",0,0,0,0,0,0,0,,,0094-243X,,978-0-7354-0778-7,,,,,,,,,"GH Raisoni Inst Engn & Management, Jalgaon, MS, IndiaIndian Inst Technol, Dept Ocean Engn, Madras, Tamil Nadu, India",GH Raisoni Inst Engn & Management,,,2010-01-01,WOS:000283003800253,,
J,"Giddings, S. N.; MacCready, P.",,,,"Giddings, Sarah/JXN-2551-2024","Giddings, Sarah N./0000-0003-0726-4781",,,,,"Reverse Estuarine Circulation Due to Local and Remote Wind Forcing, Enhanced by the Presence of Along-Coast Estuaries",,,,,,,,JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS,,,,122,12,,,10184,10205,,,,10.1002/2016JC012479,,,,,,,Article,DEC 2017,2017,"Estuarine exchange flow governs the interaction between oceans and estuaries and thus plays a large role in their biogeochemical processes. This study investigates the variability in estuarine exchange flow due to offshore oceanic conditions including upwelling/downwelling, and the presence of a river plume offshore (from a neighboring estuary). We address these processes via numerical simulations at the mouth of the Salish Sea, a large estuarine system in the Northeast Pacific. An analysis of the Total Exchange Flow indicates that during the upwelling season, the exchange flow is fairly consistent in magnitude and oriented in a positive (into the estuary at depth and out at the surface) direction. However, during periods of downwelling favorable winds, the exchange flow shows significantly more variability including multiple reversals, consistent with observations, and surface intrusions of the Columbia River plume which originates 250 km to the south. Numerical along-strait momentum budgets show that the exchange flow is forced dominantly by the pressure gradients, particularly the baroclinic. The pressure gradient is modified by Coriolis and sometimes advection, highlighting the importance of geostrophy and local adjustments. In experiments conducted without the offshore river plume, reversals still occur but are weaker, and the baroclinic pressure gradient plays a reduced role. These results suggest that estuaries along strong upwelling coastlines should experience significant modulation in the exchange flow during upwelling versus downwelling conditions. Additionally, they highlight the importance of nearby estuaries impacting one-another, not only in terms of connectivity, but also altering the exchange flow.Plain Language Summary Estuarine systems provide extensive biological and ecological functions as well as contribute to human uses and economies. However, estuaries are susceptible to change and most estuaries have been significantly impacted, threatening their important functionality. Understanding estuarine dynamics is critical to understanding estuarine ecosystems. Hydrodynamic connectivity between estuaries and the coastal ocean is a key dynamical driver impacting critical biological and biogeochemical processes such as ocean/estuarine nutrient and phytoplankton exchange and regulation of estuarine residence time, dissolved oxygen, and acidification levels. Typically estuarine-ocean exchange brings oceanic water into the estuary at depth, mixes it upwards within the estuary, and returns an outflowing mixture of oceanic and riverine water at the surface to the ocean. This manuscript documents seasonal reversals to this typical circulation pattern and the hydrodynamic drivers of the reversals. It highlights the importance of offshore winds and connectivity with neighboring estuaries. Improved understanding of these mechanisms can help us predict how estuaries will respond to a changing climate.",,,,,,,,,36,1,0,0,15,0,42,,,2169-9275,2169-9291,,,,,,,,,,"Univ Calif San Diego, Scripps Inst Oceanog, La Jolla, CA 92093 USAUniv Washington, Sch Oceanog, Seattle, WA 98195 USA",,,,2018-01-30,WOS:000422732100051,,
J,"COMBIER, CH.",,,,,,,,,,La climatologie de la Syrie et du Liban,,,,,,,,REV GEOGR PHYS ET GEOL DYNAMIQUE,,,,6,(4),,,319,346,,,,,,,,,,,Article,1933,1933,"This study of 28 pages including 12 figures is a very complete summary of the climate of Palestine and the upper Euphrates valley. It includes maps of actual and sea level temps., diagrams of the monthly course of mean-maximum and .mean-minimum temps. at 6 stations. The rainfall and winds are shown on a map and a profile of the annual rainfall through 15 stations from the coast to the interior is presented. There are also graphs of the monthly course of rainfall and days with precipitation at 10 stations. The ample winter time rains and the extreme dryness of summer are clearly shown. The monthly courses of humidity and cloudiness are also presented for 6 stations. The cloudiness has less of a range than precipitation, and the humidity has a surprisingly small change between the wet season and the dry. In summer air from the Mediterranean is blowing on-shore, while in winter this offshore wind is only occasional. Wind roses for summer and winter are shown for 10 stations. A final map shows the distribution of the 4 subtypes of Mediterranean climate, which cover Palestine and northern Syria, and the desert or Sahara type of the interior. || ABSTRACT AUTHORS: C. F. Brooks",,,,,,,,,3,0,0,,0,0,3,,,,,,,,,,,,,,,,,,1933-01-01,BCI:BCI19401400000135,,
C,"Kilias, Stephanos P.",,,,"Kilias, Stephanos P/A-1677-2008","Kilias, Stephanos P/0000-0002-5192-7039","Noffke, N; Chafetz, H",,,,"MICROBIAL MAT-RELATED STRUCTURES IN THE QUATERNARY CAPE VANI MANGANESE-OXIDE (-BARITE) DEPOSIT, NW MILOS ISLAND, GREECE",,,,,,,,MICROBIAL MATS IN SILICICLASTIC DEPOSITIONAL SYSTEMS THROUGH TIME,,Society for Sedimentary Geology Special Publication,,,101,,,97,110,,,,,,,,,,,Proceedings Paper,2012,2012,"Microbial mat-related sedimentary structures are present in Lower Pleistocene mixed epiclastic-volcaniclastic sediments that host the Cape Vani manganese-oxide (-barite) deposit on NW Milos Island, Greece. Milos Island is a dormant and recently emergent 2 Ma volcano of the active Southern Aegean volcanic arc. The deposit occurs in a 1-km-long marine rift basin floored by a dacite dome. Basin fill is a >60-m-thick sequence of epiclastic glauconite-bearing sediments sandwiched between lower and upper mixed volcaniclastic sandy tuffs and epiclastic sandstones. Host siliciclastics consist of glass shards, lithic fragments, plagioclase. K-feldspar, biotite, pyroxene, and silica and clay cements, overprinted by a barite-silica-K-feldspar-illite assemblage. Manganese (IV)-oxide minerals include dominantly delta-MnO2 (vernadite), hollandite group minerals, pyrolusite. ramsdellite, and nanocrystalline todorokite. Microbially induced structures occur in a specific lithofacies referred to as upper ferruginous and white volcaniclastic sandy tuffs/sandstones and are characterized by: (1) planar and herringbone cross-bedding, (2) small-scale, vertical fining-upward sequences, (3) (laser, wavy, and lenticular bedding, (4) marine trace fossils similar to Skolithos, and (5) beveling of ripple marks and desiccated silicified mudstone beds. These features, together with the microbially induced structures and the widespread presence of glauconite, reflect a littoral to tidal-flat paleoenvironment. The microbial mat-related sedimentary structures developed in the Mn-oxide ore formation arc recognized as: (I) mat-layer structures, (2) growth bedding structures and nodules, (3) wrinkle structures and exfoliating sand laminae, (4) cracks with upturned and curled margins, (5) roll-up structures, (6) fossil gas domes, (7) mat fragments and chips, and (8) mat slump structures, suggesting photoautotrophic, possibly cyanobacterial, mats. The ubiquitous presence of barite, in the host sediments, in the mat-related structures, in feeder-vein and bedding conformable layers, and in the gravel unit that caps the Cape Vani sedimentary rocks, suggests that microbial mats were developed in association with white smokers acting as Mn(II) suppliers, in a sunlit shallow-water or tidal-flat paleogeothermal system. The intimate relationship of Mn(IV)-oxide ore mineralization with the microbial mat-related sedimentary structures, coupled with the presence of Mn mineralized microbial fossils in the ore, strongly suggests the possible role of bacterial photosynthesis in Mn(II) bio-oxidation and Mn(IV)-oxide biomineralization at Cape Vani. It is envisaged that most Mn(IV)oxide mineralization was synsedimentary and syngenetic and formed due to an interplay among shallow-marine/tidal-flat sedimentation, hydrothermal seafloor to subaerial hot spring activity, which provided Mn(II), and active, possibly photosynthetic, microbial activity. Chemotrophic influence on Mn(IV)-oxide biomineralization cannot be excluded.",,,,,SEPM Research Conference on Microbial Mats in Sandy Deposits (Archean to Today)SEPM Research Conference on Microbial Mats in Sandy Deposits (Archean to Today),"MAY 21-23, 2010MAY 21-23, 2010",SEPM; Lund Univ; Novo Resources Corp; Univ Erlangen Nurnberg; China Univ Geosciences; Senckenberg Meer Wilhelmshaven; Freie Univ Berlin; Univ SaskatchewanSEPM; Lund Univ; Novo Resources Corp; Univ Erlangen Nurnberg; China Univ Geosciences; Senckenberg Meer Wilhelmshaven; Freie Univ Berlin; Univ Saskatchewan,"Denver, CODenver, CO",9,0,0,0,0,0,9,,,1060-071X,,978-1-56576-314-2,,,,,,,,,"Univ Athens, Dept Econ Geol & Geochem, Fac Geol & Geoenvironm, Athens 15784, Greece",,,,2012-11-07,WOS:000309369500010,,
J,"Kim, Tae-Sung; Park, Kyung-Ae; Li, Xiaofeng; Hong, Sungwook",,,,"Li, Xiaofeng/B-6524-2008","Li, Xiaofeng/0000-0001-7038-5119; Park, Kyung-Ae/0000-0001-8899-7201",,,,,SAR-derived wind fields at the coastal region in the East/Japan Sea and relation to coastal upwelling,,,,,,,,INTERNATIONAL JOURNAL OF REMOTE SENSING,,,,35,11-12,SI,,3947,3965,,,,10.1080/01431161.2014.916438,,,,,,,Article,2014,2014,"The relationship between the modification of synthetic aperture radar (SAR) wind field and coastal upwelling was investigated using high-resolution wind fields from Advanced Land Observing Satellite (ALOS) Phased Array type L-band synthetic aperture radar (PALSAR) imagery and sea-surface temperature (SST) from National Oceanic and Atmospheric Administration/Advanced Very-High-Resolution Radiometer (NOAA/AVHRR) data. The retrieved SAR wind speeds seem to agree well with in situ buoy measurements with only a relatively small error of 0.7 m s(-1). The SAR wind fields retrieved from the east coast of Korea in August 2007 revealed a spatial distinction between near and offshore regions. Low wind speeds of less than 3 m s(-1) were associated with cold water regions with dominant coastal upwelling. Time series of in situ measurements of both wind speed and water temperature indicated that the upwelling was induced by the wind field. The low wind field from SAR was mainly induced by changes in atmospheric stability due to air-sea temperature differences. In addition, wind speed magnitude showed a positive correlation with the difference between SST and air temperature (R-2 = 0.63). The dependence of viscosity of water on radar backscattering at the present upwelling region was negligible since SAR data showed a relatively large backscattering attenuation to an SST ratio of 1.2 dB degrees C-1. This study also addressed the important role of coastal upwelling on biological bloom under oligotrophic environments during summer.",,,,,,,,,28,0,0,0,5,0,28,,,0143-1161,1366-5901,,,,,,,,,,"Seoul Natl Univ, Dept Sci Educ, Seoul, South KoreaSeoul Natl Univ, Dept Earth Sci Educ, Seoul, South KoreaSeoul Natl Univ, Res Inst Oceanog, Seoul, South KoreaNOAA, NESDIS, GST, College Pk, MD 20740 USANatl Meteorol Satellite Ctr, Satellite Anal Div, Jincheon, South Korea",Natl Meteorol Satellite Ctr,,,2014-01-01,WOS:000337623200003,,
J,"Giakisikli, Georgia; Miro, Manuel; Anthemidis, Aristidis",,,,"Miro, Manuel/D-9500-2011","Miro, Manuel/0000-0002-8413-3008; Anthemidis, Aristidis/0000-0002-0276-3349",,,,,Integrated Lab-in-Syringe Platform Incorporating a Membrane less Gas-Liquid Separator for Automatic Cold Vapor Atomic Absorption Spectrometry,,,,,,,,ANALYTICAL CHEMISTRY,,,,85,19,,,8968,8972,,,,10.1021/ac402013j,,,,,,,Article,OCT 1 2013,2013,"This manuscript reports the proof-of-concept of a novel integrated lab-in-syringe/gas-liquid separation (LIS/GLS) batch-flow system based on a programmable flow for automatic cold vapor atomic absorption spectrometric assays. Homogeneous mixing of metered volumes of sample and reagent solutions drawn up in a sandwich-type mode along with in situ vapor generation are accomplished inside the microsyringe in a closed manner, while the separation of vapor species is achieved via the membraneless GLS located at the top of the syringe's valve in the upright position. The potentials of the proposed manifold were demonstrated for trace inorganic mercury determination in drinking waters and seawater. For a 3.0 mL sample, the limit of detection and repeatability (RSD) were found to be 0.03 mu g L-1 Hg(II) and 3.1% (at the 2.0 mu g L-1 concentration level), respectively, with a dynamic range extending up to 10.0 mu g L-1 The proposed system fulfills the requirements of US-EPA, WHO, and EU Council Directives for measurements of the maximum allowed concentrations of inorganic mercury in drinking water.",,,,,,,,,21,1,0,0,12,0,21,,,0003-2700,1520-6882,,,,,,,,,,"Aristotle Univ Thessaloniki, Dept Chem, Fac Sci, Lab Analyt Chem, Thessaloniki 54124, GreeceUniv Balearic Isl, FI TRACE Grp, Dept Chem, E-07122 Palma De Mallorca, Spain",,,,2014-02-12,WOS:000330017500015,23977837,
