Publication Type,Authors,Book Authors,Group Authors,Book Group Authors,Researcher Ids,ORCIDs,Book Editors,Author - Arabic,Grant Principal Investigator,Grant Co Principal Investigator,Article Title,Article Title - SciELO,Article Title - SciELO,Article Title - Chinese,Article Title - Russian,Patent Number,Patent Assignee,Source Title - Arabic,Source Title,Source Title - Korean,Book Series Title,Book Series Subtitle,Volume,Issue,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,Version,Version History,DOI,Book DOI,License Name,License URI,License Description,Early Access Date,Supplement,Document Type,Publication Date,Publication Year,Abstract,Abstract - Foreign,Abstract - English Transliteration,Abstract - Foreign,Abstract - Korean,Conference Title,Conference Date,Conference Sponsor,Conference Location,"Times Cited, WoS Core","Times Cited, CSCD","Times Cited, RSCI","Times Cited, ARCI","Times Cited, BCI","Times Cited, SCIELO","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,ISSN,eISSN,ISBN,Grant Number,No of References,Cited References,Language,Advisor,Committee Member,Copyright,Degree Name,Institution Address,Institution,Dissertation and Thesis Subjects,Author Keywords,Indexed Date,UT (Unique ID),Pubmed Id,
J,"Abadie, Arnaud; Boissery, Pierre; Viala, Christophe",,,,,"Abadie, Arnaud/0000-0003-2704-8680",,,,,Georeferenced underwater photogrammetry to map marine habitats and submerged artificial structures,,,,,,,,PHOTOGRAMMETRIC RECORD,,,,33,164,,,448,469,,,,10.1111/phor.12263,,,,,,,Article,DEC 2018,2018,"Over the past decade, underwater photogrammetry has been experiencing an increased interest due to the enhancement of camera performance and computing power. This study describes the test of two new methods to perform georeferenced underwater photogrammetry. The first one uses the coupling between photogrammetry by scuba diving and positioning with acoustic data from a multibeam echo sounder; the second one utilises direct positioning technology with a surface floating device (photogrammetric platform). When compared with one another, the platform had a higher mapping efficiency, while being limited by depth and underwater visibility. Georeferenced underwater photogrammetry is expected to have a wide range of applications in the field of marine habitats' conservation such as seagrass meadows and the survey of submerged man-made structures such as artificial reefs and port infrastructure.",,,,,,,,,15,0,0,0,5,0,15,,,0031-868X,1477-9730,,,,,,,,,,"Seaviews, La Ciotat, FranceAgence Eau Rhone Mediterranee Corse, Marseille, France",SeaviewsAgence Eau Rhone Mediterranee Corse,,,2019-01-28,WOS:000455770500004,,
J,"Hueppop, Ommo; Hill, Reinhold",,,,,,,,,,Migration phenology and behaviour of bats at a research platform in the south-eastern North Sea,,,,,,,,Lutra,,,,59,1-2,,,5,22,,,,,,,,,,,Article,DEC 2016,2016,"More than ten years of autonomous acoustic recording of bats echolocation calls at an unmanned offshore research platform 45 km north of the island of Borkum (North Sea) were analysed in relation to season, time of day and weather. To our knowledge this is the longest systematic dataset on offshore bat migration worldwide. Three-hundred and seventeen call sequences were recorded during typical migration times in spring and autumn and assigned to at least 23 Nathusius pipi-strelles (Pipistrellus nathusius), 3 northern bats (Eptesicus nilssonii) and 2 Leisler's bats (Nyctalus leisleri). Compared to the prevailing wind conditions, more bats than expected were recorded at lower wind speeds and southerly winds. Bats occurred under supporting tailwinds, but also under strong headwinds. In both seasons most bats occurred under winds from the south (i.e.crosswinds), which indicates offshore wind drift. We neither found effects of air pressure, nor of change in air pressure. Most registrations coincided with a dense cover of clouds, fog/low stratus and/or rain. From the structure of echolocation calls it can be concluded that most bats explored the platform rather than just passed it on transfer flights, some even foraged there. We conclude that most of the bats were on migration and attracted by the brightly lit platform and/or sought refuge there. This involves the risk of collisions with offshore wind turbines (which need to be brighter lit at sea than onshore). We assume that a great part of offshore bat migration takes place beyond the range of currently available techniques at greater altitudes than known so far.",,,,,,,,,10,0,0,0,7,0,10,,,0024-7634,0024-7634,,,,,,,,,,"Inst Avian Res Vogelwarte Helgoland, Vogelwarte 21, D-26386 Wilhelmshaven, Germany",,,,2017-11-03,BCI:BCI201700766603,,
J,"Schlappy, Marie-Lise; Saskov, Aleksej; Dahlgren, Thomas G.",,,,"Dahlgren, Thomas/X-6610-2019","Dahlgren, Thomas/0000-0001-6854-2031; Schlappy, Marie-Lise/0000-0002-2131-8515",,,,,Impact hypothesis for offshore wind farms: Explanatory models for species distribution at extremely exposed rocky areas,,,,,,,,CONTINENTAL SHELF RESEARCH,,,,83,,SI,,14,23,,,,10.1016/j.csr.2013.11.018,,,,,,,Article,JUL 15 2014,2014,"The increasing need for renewable and clean energy production is likely to result in a diversification of locations for the implementation of offshore wind farms which have been so far predominantly sited on soft substrata. In contrast, offshore wind turbines placed on rocky reefs in highly exposed areas are much less common and the impacts on local flora and fauna can only be hypothesized. On the Western coast of Norway, a rocky reef with a highly complex topography has been chosen to be the first full-scale offshore wind farm in the country. Underwater video analyses and multibeam bathymetry data with a generalized linear model were used opportunistically to investigate the influence of geomorphic explanatory variables on the occurrence of selected taxa (algae, sea urchins and sea stars) identified in the study area. Combining video observations and multibeam bathymetry in a generalized linear model revealed that the geomorphic descriptors: aspect, slope, rugosity, and benthic position indexes (BPI), were of significance for algae, sea urchins and sea stars at Havsul and served in showing their habitat preferences. Kelp occurred in areas of high rugosity, on gentle slopes, at elevated areas with a southerly orientation and on the sheltered side of rock or bedrock. Thus, construction disturbance that modify those variables may lead to a change in the area preferred by kelp. Turbines that shade southerly aspects may affect small kelp plants in reducing their available habitat. Sea urchins were more abundant on steep slopes and both sea stars and sea urchins showed a preference for a complex local relief (high rugosity) and heterogeneity in fine and broad elevation (shown by BPI). Thus, foundations and cable route preparation may significantly change the slope, rugosity of BPI broad, which will change the basis for sea urchin populations. It may likewise significantly change the rugosity or BPI (fine or broad), which may change the distribution of sea stars. The combination of video data and models using multibeam bathymetry yields useful information about the potential impacts of the construction of an offshore wind farm on rocky substratum and allows us to generate impact hypotheses that go beyond what could be hypothesized through a mere general knowledge of the area. (C) 2013 Elsevier Ltd. All rights reserved.",,,,,,,,,9,0,0,0,7,0,9,,,0278-4343,1873-6955,,,,,,,,,,"Uni Res, N-5008 Bergen, NorwayKlaipeda Univ, Coastal Res & Planning Inst, KU CORPI, LT-92294 Klaipeda, Lithuania",Uni Res,,,2014-07-23,WOS:000337994300003,,
J,"Hammar, Linus; Wikstrom, Andreas; Molander, Sverker",,,,"Molander, Sverker/E-1462-2012","Molander, Sverker/0000-0002-9081-8847",,,,,Assessing ecological risks of offshore wind power on Kattegat cod,,,,,,,,RENEWABLE ENERGY,,,,66,,,,414,424,,,,10.1016/j.renene.2013.12.024,,,,,,,Article,JUN 2014,2014,"Offshore wind power is expanding with particular development plans in the Baltic and the North Sea. To reassure an environmentally acceptable development, regulatory authorities need to make informed decisions even when evidence and experience are scarce. In this study Ecological Risk Assessment (ERA) has been applied on a wind farm project in Kattegat, proposed within a spawning ground for the Kattegat cod, a threatened population of Atlantic cod (Gadus morhua L). Six stressors with potential impacts on cod and related to wind farms were investigated. Three of them - extreme noise from pile driving, noise from vessels, and disturbances due to cable-trenching - are related to the construction phase, while lubricant spills and noise from turbines together with electric fields from cables are related to the operation phase. The ecological risk was derived from the combined likelihood and magnitude of potential adverse effects from stressors to the cod population using a weight-of-evidence (WOE) ranking procedure. Available evidence was evaluated based on its reliability, and contradictory arguments were balanced against each other using evidence maps. The option of performing hazardous construction events (e.g. pile-driving) outside biologically sensitive periods was incorporated in the assessment. It was shown that the construction of the wind farm poses a high risk to cod, as defined by the ranked and combined likelihoods and magnitudes of adverse effects. However by avoiding particular construction events during the cod recruitment period ecological risks can be significantly reduced. Specifically for this case, ecological risks are reduced from high to low by avoiding pile-driving from December through June, which confirms previous indications that pile-driving is the most ecologically hazardous activity of offshore wind power development. Additional risk reduction is achieved by avoiding cable trenching from January through May. The study thus illustrates the effectiveness of time-planning for risk reduction. Importantly, the study illustrates how combined ERA and WOE methods can be valuable for handling uncertainties of environmental impacts within offshore industrial development. (C) 2014 Elsevier Ltd. All rights reserved.",,,,,,,,,29,1,0,0,12,0,32,,,0960-1481,1879-0682,,,,,,,,,,"Chalmers Univ Technol, S-41296 Gothenburg, SwedenMarine Monitoring AB, S-45334 Lysekil, Sweden",Marine Monitoring AB,,,2014-06-01,WOS:000333073700046,,
J,"Kempton, W; Firestone, J; Lilley, J; Rouleau, T; Whitaker, P",,,,"Kempton, Willett M/H-5176-2012; Firestone, Jeremy/O-8281-2017","Kempton, Willett M/0000-0002-7284-8954; Firestone, Jeremy/0000-0003-4625-4092",,,,,The offshore wind power debate: Views from Cape Cod,,,,,,,,COASTAL MANAGEMENT,,,,33,2,,,119,149,,,,10.1080/08920750590917530,,,,,,,Article,APR-JUN 2005,2005,"Wind power resources on the eastern U. S. continental shelf are estimated to be over 400 GW, several times the electricity used by U. S. eastern coastal states. The first U. S. developer proposes to build 130 large (40 story tall) wind turbines in Nantucket Sound, just outside Massachusetts state waters. These would provide 420 MW at market prices, enough electricity for most of Cape Cod. The project is opposed by a vigorous and well-financed coalition. Polling shows local public opinion on the project almost equally divided. This article draws on semistructured interviews with residents of Cape Cod to analyze values, beliefs, and logic of supporters and opponents. For example, one value found to lead to opposition is that the ocean is a special place that should be kept natural and free of human intrusion. One line of argument found to lead to support is: The war in Iraq is problematic, this war is really over petroleum, Cape Cod generates electricity from oil, therefore, the wind project would improve U.S. security. Based on analysis of the values and reasoning behind our interview data, we identify four issues that are relevant but not currently part of the debate.",,,,,,,,,154,1,0,0,12,0,174,,,0892-0753,1521-0421,,,,,,,,,,"Univ Delaware, Coll Marine Studies, Newark, DE 19716 USA",,,,2005-04-01,WOS:000227987000001,,
B,"Apostolaki-Iosifidou, Elpiniki",,,,,,,,,,Grid Integration of Clean Electricity Generation and Storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dissertation/Thesis,Jan 01 2017,2017,,,,,,,,,,0,0,0,0,0,0,0,,,,,9.79884E+12,,,,,,,,,"University of Delaware, Electrical and Computer Engineering, Delaware, United States",University of Delaware,,,,PQDT:68525368,,
J,"Stuhr, M.; Dethleff, D.; Weinrich, N.; Nielsen, M.; Hory, D.; Kowald, B.; Seide, K.; Kerner, T.; Nau, C.; Juergens, C.",,,,,,,,,,Medical Emergency Preparedness in offshore wind farms. New challenges in the german north and baltic seas,,,,,,,,ANAESTHESIST,,,,65,5,,,369,379,,,,10.1007/s00101-016-0154-7,,,,,,,Article,MAY 2016,2016,"Offshore windfarms are constructed in the German North and Baltic Seas. The off-coast remoteness of the windfarms, particular environmental conditions, limitations in offshore structure access, working in heights and depths, and the vast extent of the offshore windfarms cause significant challenges for offshore rescue. Emergency response systems comparable to onshore procedures are not fully established yet. Further, rescue from offshore windfarms is not part of the duty of the German Maritime Search and Rescue Organization or SAR-Services due to statute and mandate reasons. Scientific recommendations or guidelines for rescue from offshore windfarms are not available yet.The present article reflects the current state of medical care and rescue from German offshore windfarms and related questions. The extended therapy-free interval until arrival of the rescue helicopter requires advanced first-aid measures as well as improved first-aider qualification. Rescue helicopters need to be equipped with a winch system in order to dispose rescue personnel on the wind turbines, and to hoist-up patients. For redundancy reasons and for conducting rendezvous procedures, adequate sea-bound rescue units need to be provided. In the light of experiences from the offshore oil and gas industry and first offshore wind analyses, the availability of professional medical personnel in offshore windfarms seems advisible. Operational air medical rescue services and specific offshore emergency reaction teams have established a powerful rescue chain. Besides the present development of medical standards, more studies are necessary in order to place the rescue chain on a long-term, evidence-based groundwork. A central medical offshore registry may help to make a significant contribution at this point.",,,,,,,,,10,0,0,0,2,0,11,,,0003-2417,1432-055X,,,,,,,,,,"BG Klinikum Hamburg, Abt Anasthesie Intens Rettungs & Schmerzmed, Bergedorfer Str 10, D-21033 Hamburg, GermanyBG Klinikum Hamburg, Lab Biomech, Hamburg, GermanyBG Klinikum Hamburg, Abt Unfallchirurg Orthopadie & Sporttraumatol, Hamburg, GermanyIsraelit Krankenhaus Hamburg, Chirurg Klin, Hamburg, GermanyAsklepios Klinikum Harburg, Abt Anasthesie, Notfallmed, Intens Med,Schmerztherapie, Hamburg, GermanyUniv Klinikum Schleswig Holstein, Klin Anasthesiol & Intens Med, Campus Lubeck, D-23538 Lubeck, Germany",BG Klinikum HamburgBG Klinikum HamburgBG Klinikum HamburgIsraelit Krankenhaus HamburgAsklepios Klinikum Harburg,,,2016-06-08,WOS:000376245000009,27072312,
J,"JiN, LEE TAE; 성진기",,,,,,,,,,Study on Present Status and Future Direction of Korean Offshore Wind Power,,,한국의 해상풍력 현황과 발전방향에 관한 연구,,,,,,전기학회논문지,,,62,3,,,312,321,,,,10.5370/KIEE.2013.62.3.312,,,,,,,research-article,2013,2013,"In this study, we review the status of Southwest sea 2.5GW offshore wind project and expected various problems. And we suggest government policies for offshore wind industrialization. Especially, we would like to mention the necessity of offshore wind development in order to diversify power sources and guarantee energy security in Korea.And we would like to mention necessity and direction to make offshore wind into growth engine industry thorough fusion between industries and energization for the existing industry such as civil, shipbuilding, steel, etc. that was headed into downturn.",,,,,,,,,0,0,0,0,0,0,0,,,1975-8359,,,,,,,,,,,,,,,2013-01-01,KJD:ART001749643,,
J,"Curto, Domenico; Favuzza, Salvatore; Franzitta, Vincenzo; Musca, Rossano; Navia, Milagros Amparo Navarro; Zizzo, Gaetano",,,,,"Curto, Domenico/0000-0002-1237-868X; ZIZZO, Gaetano/0000-0003-4413-4855",,,,,Evaluation of the optimal renewable electricity mix for Lampedusa island: The adoption of a technical and economical methodology,,,,,,,,JOURNAL OF CLEANER PRODUCTION,,,,263,,,,,,121404,,,10.1016/j.jclepro.2020.121404,,,,,,,Article,AUG 1 2020,2020,"Worldwide, the majority of small islands not connected to the main grid is still dependent on fossil fuels. From an economic and environmental point of view, this condition is no more sustainable given the high costs for electricity generation and the high level of pollutant emissions. Furthermore, the dependence on fossil fuel represents a risk for the security of the supply of several small developing Countries since they are obliged to import those resources from foreign Countries. The introduction of renewable energy sources in small islands represents a valid solution to solve these problems. In this context, the paper investigates the case of Lampedusa, a small Italian island whose electrical power system is currently totally supplied by diesel power plants. In the paper, the authors investigate the transition toward an economically and technically feasible generating system based on solar, wind and sea wave plants, to achieve specific targets of decarbonization. Commercial technologies are adopted for the exploitation of solar and wind sources, while sea wave plants are based on an innovative device, currently under development at the University of Palermo. A mathematical model is proposed to find the optimal energy mix that can satisfy a fixed share of annual electricity production from renewables, considering the Levelized Cost of Electricity. Finally, the proposed solution is analyzed in order to check the dynamic stability of the power system. The paper shows that, for replacing the 40% of the current electricity demand of Lampedusa, an optimal energy mix comprising 1509 kW from photovoltaic plants, 2100 kW from wind turbines and 640 kW from wave energy converters is needed. In this way, the actualized cost for the electricity production could be reduced to 0.260 V/kWh from the current value of 0.282 V/kWh. (C) 2020 Elsevier Ltd. All rights reserved.",,,,,,,,,43,0,0,0,2,0,43,,,0959-6526,1879-1786,,,,,,,,,,"UNIPA, Dept Engn, Palermo, Italy",UNIPA,,,2020-06-16,WOS:000537164300007,,
C,"Maloney, Kenneth J.; Bourg, David M.; Humphreys, Kenneth F.; Townsend, Christopher M.",,,ASME,,,,,,,AN ANALYSIS OF ALTERNATIVES FOR THE DEVELOPMENT OF JONES ACT COMPLIANT WINDFARM CONSTRUCTION VESSEL FLEETS,,,,,,,,"PROCEEDINGS OF THE ASME 1ST INTERNATIONAL OFFSHORE WIND TECHNICAL CONFERENCE, 2018",,,,,,,,,,V001T02A003,,,,,,,,,,Proceedings Paper,2018,2018,"The typical offshore wind turbine generator (WTG) currently being installed worldwide produces 6 to 8 megawatts of electrical power and stands more than 100 meters above the ocean surface. The next generation turbines will produce 12 megawatts or more. In the summer of 2016 five of these turbines were installed in the coastal waters of Rhode Island. They are representative of the latest in a constantly evolving series of WTGs. As manufacturers continue to develop more powerful turbines, larger and larger specialized vessels will be needed to lift the components at assembly sites offshore. The process these vessels use to build America's offshore windfarms will need to be different from the approach normally used at sites outside the U.S. This is due in part to regulatory restrictions imposed by the Merchant Marine Act of 1920, which is more commonly known as the Jones Act. As it pertains to offshore windfarm construction, the Jones Act prohibits foreign-flagged vessels, (vessels built outside the United States) from moving cargo between two U.S. ports. Under the law, an offshore windfarm within territorial waters is considered a U.S. port. Therefore, employing a foreign built windfarm construction vessel to transport components from a nearby port to the construction site, as it typically does, violates the Jones Act. Although the Jones Act might appear to be a deterrent to the development of offshore wind in the U.S., it is not. The developers of the Rhode Island's Block Island Wind Farm (BIWF) used a combination of U.S. and foreign-flagged vessels to construct BIWF, while remaining in compliance with the law. This paper reviews the approach used at Block Island and discusses how it can be applied to future projects. An analysis of alternatives for various vessel fleet combinations that can be used for this purpose is provided. The analysis is based on results produced by a throughput and scheduling model developed by the authors. The model leverages the experience gained during the construction of BIWF, and was validated with data collected during the project. The alternatives include scenarios utilizing existing vessels modified for windfarm construction service, foreign-flagged windfarm construction vessels, and new vessels specifically built for the U.S. market. The paper concludes with a review of the relative efficiencies of various fleet configurations while undertaking the construction of a notional windfarm located off the East Coast of the U.S.",,,,,1st International Offshore Wind Technical Conference1st International Offshore Wind Technical Conference,"NOV 04-07, 2018NOV 04-07, 2018","ASME, Ocean Offshore & Arctic Engn DivASME, Ocean Offshore & Arctic Engn Div","San Francisco, CASan Francisco, CA",0,0,0,0,0,0,0,,,,,978-0-7918-5197-5,,,,,,,,,"MiNO Marine LLC, Jefferson, LA 70121 USA",MiNO Marine LLC,,,2018-01-01,WOS:000474938500049,,
J,"Ainley, David G.; Porzig, Elizabeth; Zajanc, David; Spear, Larry B.",,,,,,,,,,SEABIRD FLIGHT BEHAVIOR AND HEIGHT IN RESPONSE TO ALTERED WIND STRENGTH AND DIRECTION,,,,,,,,Marine Ornithology,,,,43,1,,,25,36,,,,,,,,,,,Article,APR 2015,2015,"The ocean is swept by winds in regionally and seasonally predictable ways, and seabirds have been exploiting these patterns for millennia. Seabird use of wind energy is an under-appreciated aspect of seabird ecology. Using data from 114 cruises spanning the Southern Ocean, Peru Current, California Current and Equatorial Pacific from 1976 to 2006, we evaluate the effect of wind speed and direction on two key characteristics of seabird behavior, flight height and flight behavior. We used cluster analysis to partition 104 seabird species into morphological groupings based on degree of divergence in morphology from Pennycuick's standard seabird, with subgroups evident among and within flappers, glide-flappers, and flap-gliders. Gliders, sea-anchor soarers and soarers showed no such divergence in morphology within their respective groups. Morphological grouping was in accord with foraging ecology, facilitating foraging behavior. Seabird flight height and behavior varied among groups and subgroups and changed as a function of wind speed and direction relative to travel, with the probability of more gliding and flying above 10 m increasing as wind speed increased. Most of the glide-flappers, flap-gliders and gliders, especially, would be highly vulnerable to offshore wind-generating facilities, as their flight heights bring them well within the blade-swept zone of typical turbines when winds are strong, and their more prevalent gliding makes them less maneuverable than flappers.",,,,,,,,,25,0,0,0,19,0,27,,,1018-3337,2074-1235,,,,,,,,,,"HT Harvey and Associates Ecol Consultants, 983 Univ Ave,Bldg D, Los Gatos, CA 95032 USA",,,,2016-01-22,BCI:BCI201600151119,,
